date,btc_price,market_cap_btc,trading_vol_btc,breakeven_5y,dxy_close,sp500_close,month,cpi_raw,cpi_yoy_pct,btc_monthly_avg
2013-04-28,135.3,1500517590.0,0.0,2.1,82.1500015258789,1593.6099853515625,2013-04,231.797,,137.52
2013-04-29,141.96,1575032004.0,0.0,2.1,82.1500015258789,1593.6099853515625,2013-04,231.797,,137.52
2013-04-30,135.3,1501657493.0,0.0,2.06,81.7300033569336,1597.5699462890625,2013-04,231.797,,137.52
2013-05-01,117.0,1298951550.0,0.0,1.98,81.63999938964844,1582.699951171875,2013-05,231.893,,119.42396774193548
2013-05-02,103.43,1148667722.0,0.0,1.99,82.20999908447266,1597.5899658203125,2013-05,231.893,,119.42396774193548
2013-05-03,91.01,1011066494.0,0.0,2.03,82.0999984741211,1614.4200439453125,2013-05,231.893,,119.42396774193548
2013-05-04,111.25,1236351844.0,0.0,2.03,82.0999984741211,1614.4200439453125,2013-05,231.893,,119.42396774193548
2013-05-05,116.79,1298377788.0,0.0,2.03,82.0999984741211,1614.4200439453125,2013-05,231.893,,119.42396774193548
2013-05-06,118.33,1315992304.0,0.0,2.05,82.31999969482422,1617.5,2013-05,231.893,,119.42396774193548
2013-05-07,106.4,1183766500.0,0.0,2.05,82.30000305175781,1625.9599609375,2013-05,231.893,,119.42396774193548
2013-05-08,112.64,1253655040.0,0.0,2.03,81.9000015258789,1632.68994140625,2013-05,231.893,,119.42396774193548
2013-05-09,113.0,1258130700.0,0.0,2.02,82.79000091552734,1626.6700439453125,2013-05,231.893,,119.42396774193548
2013-05-10,118.78,1322989457.0,0.0,2.05,83.13999938964844,1633.699951171875,2013-05,231.893,,119.42396774193548
2013-05-11,113.01,1259239352.0,0.0,2.05,83.13999938964844,1633.699951171875,2013-05,231.893,,119.42396774193548
2013-05-12,114.713,1278708679.0,0.0,2.05,83.13999938964844,1633.699951171875,2013-05,231.893,,119.42396774193548
2013-05-13,117.18,1306721052.0,0.0,2.02,83.26000213623047,1633.77001953125,2013-05,231.893,,119.42396774193548
2013-05-14,114.5,1277278988.0,0.0,2.03,83.56999969482422,1650.3399658203125,2013-05,231.893,,119.42396774193548
2013-05-15,114.156,1273849681.0,0.0,2.01,83.83000183105469,1658.780029296875,2013-05,231.893,,119.42396774193548
2013-05-16,115.5,1289277412.0,0.0,1.97,83.7699966430664,1650.469970703125,2013-05,231.893,,119.42396774193548
2013-05-17,123.1,1374605382.0,0.0,1.98,84.27999877929688,1667.469970703125,2013-05,231.893,,119.42396774193548
2013-05-18,123.88,1383755085.0,0.0,1.98,84.27999877929688,1667.469970703125,2013-05,231.893,,119.42396774193548
2013-05-19,120.501,1346499262.0,0.0,1.98,84.27999877929688,1667.469970703125,2013-05,231.893,,119.42396774193548
